,school,team,city,state_province,primary_conference,ncaa,team_page
259,University of Hawaiʻi at Mānoa,Rainbow Warriors,Honolulu,HI,Big West Conference,1,/wiki/Hawaii_Rainbow_Warriors_and_Rainbow_Wahine
260,University of Houston,Cougars,Houston,TX,American Athletic Conference,1,/wiki/Washington_State_Cougars
261,University of Idaho,Vandals,Moscow,ID,Big Sky Conference,1,/wiki/Idaho_Vandals
262,University of Illinois Chicago,Flames,Chicago,IL,Missouri Valley Conference,1,/wiki/UIC_Flames
263,University of Illinois Urbana-Champaign,Fighting Illini,Urbana,IL,Big Ten Conference,1,/wiki/Illinois_Fighting_Illini
264,University of Kansas,Jayhawks,Lawrence,KS,Big 12 Conference,1,/wiki/Kansas_Jayhawks
265,University of Kentucky,Wildcats,Lexington,KY,Southeastern Conference,1,/wiki/Weber_State_Wildcats
266,University of Louisiana at Lafayette,Ragin' Cajuns,Lafayette,LA,Sun Belt Conference,1,/wiki/Louisiana_Ragin%27_Cajuns
267,University of Louisiana at Monroe,Warhawks,Monroe,LA,Sun Belt Conference,1,/wiki/Louisiana%E2%80%93Monroe_Warhawks
268,University of Louisville,Cardinals,Louisville,KY,Atlantic Coast Conference,1,/wiki/University_of_the_Incarnate_Word_Cardinals
269,University of Maine,Black Bears,Orono,ME,America East Conference,1,/wiki/Maine_Black_Bears
270,"University of Maryland, Baltimore County",Retrievers,Catonsville,MD,America East Conference,1,/wiki/UMBC_Retrievers
271,"University of Maryland, College Park",Terrapins,College Park,MD,Big Ten Conference,1,/wiki/Maryland_Terrapins
272,University of Maryland Eastern Shore,Hawks,Princess Anne,MD,Mid-Eastern Athletic Conference,1,/wiki/UMES_Hawks
273,University of Massachusetts Amherst,Minutemen,Amherst,MA,Atlantic 10 Conference,1,/wiki/UMass_Minutemen_and_Minutewomen
274,University of Massachusetts Lowell,River Hawks,Lowell,MA,America East Conference,1,/wiki/UMass_Lowell_River_Hawks
275,University of Memphis,Tigers,Memphis,TN,American Athletic Conference,1,/wiki/Pacific_Tigers
276,University of Miami,Hurricanes,Coral Gables,FL,Atlantic Coast Conference,1,/wiki/Miami_Hurricanes
277,University of Michigan,Wolverines,Ann Arbor,MI,Big Ten Conference,1,/wiki/Utah_Valley_Wolverines
278,University of Minnesota,Golden Gophers,Minneapolis,MN,Big Ten Conference,1,/wiki/Minnesota_Golden_Gophers
279,University of Mississippi,Rebels,Oxford,MS,Southeastern Conference,1,/wiki/UNLV_Rebels
280,University of Missouri–Columbia,Tigers,Columbia,MO,Southeastern Conference,1,/wiki/Pacific_Tigers
281,University of Missouri–Kansas City,Roos,Kansas City,MO,Summit League,1,/wiki/Kansas_City_Roos
282,University of Montana,Grizzlies,Missoula,MT,Big Sky Conference,1,/wiki/Montana_Grizzlies_and_Lady_Griz
283,University of Nebraska–Lincoln,Cornhuskers,Lincoln,NE,Big Ten Conference,1,/wiki/Nebraska_Cornhuskers
284,University of Nebraska at Omaha,Mavericks,Omaha,NE,Summit League,1,/wiki/Omaha_Mavericks
285,"University of Nevada, Las Vegas",Rebels,Paradise,NV,Mountain West Conference,1,/wiki/UNLV_Rebels
286,"University of Nevada, Reno",Wolf Pack,Reno,NV,Mountain West Conference,1,/wiki/Nevada_Wolf_Pack
287,University of New Hampshire,Wildcats,Durham,NH,America East Conference,1,/wiki/Weber_State_Wildcats
288,University of New Orleans,Privateers,New Orleans,LA,Southland Conference,1,/wiki/New_Orleans_Privateers
289,University of North Alabama,Lions,Florence,AL,ASUN Conference,1,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
290,University of North Carolina at Asheville,Bulldogs,Asheville,NC,Big South Conference,1,/wiki/Yale_Bulldogs
291,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,NC,Atlantic Coast Conference,1,/wiki/North_Carolina_Tar_Heels
292,University of North Carolina at Charlotte,49ers,Charlotte,NC,Conference USA,1,/wiki/Charlotte_49ers
293,University of North Carolina at Greensboro,Spartans,Greensboro,NC,Southern Conference,1,/wiki/USC_Upstate_Spartans
294,University of North Carolina at Wilmington,Seahawks,Wilmington,NC,Colonial Athletic Association,1,/wiki/Wagner_Seahawks
295,University of North Dakota,Fighting Hawks,Grand Forks,ND,Summit League,1,/wiki/North_Dakota_Fighting_Hawks
296,University of Northern Colorado,Bears,Greeley,CO,Big Sky Conference,1,/wiki/Northern_Colorado_Bears
297,University of Northern Iowa,Panthers,Cedar Falls,IA,Missouri Valley Conference,1,/wiki/Milwaukee_Panthers
298,University of North Florida,Ospreys,Jacksonville,FL,ASUN Conference,1,/wiki/North_Florida_Ospreys
299,University of North Texas,Mean Green,Denton,TX,Conference USA,1,/wiki/North_Texas_Mean_Green
300,University of Notre Dame du Lac,Fighting Irish,Notre Dame,IN,Atlantic Coast Conference,1,/wiki/Notre_Dame_Fighting_Irish
301,University of Oklahoma,Sooners,Norman,OK,Big 12 Conference,1,/wiki/Oklahoma_Sooners
302,University of Oregon,Ducks,Eugene,OR,Pac-12 Conference,1,/wiki/Oregon_Ducks
303,University of Pennsylvania,Quakers,Philadelphia,PA,Ivy League,1,/wiki/Penn_Quakers
304,University of Pittsburgh,Panthers,Pittsburgh,PA,Atlantic Coast Conference,1,/wiki/Milwaukee_Panthers
305,University of Portland,Pilots,Portland,OR,West Coast Conference,1,/wiki/Portland_Pilots
306,University of Rhode Island,Rams,Kingston,RI,Atlantic 10 Conference,1,/wiki/VCU_Rams
307,University of Richmond,Spiders,Richmond,VA,Atlantic 10 Conference,1,/wiki/Richmond_Spiders
308,University of San Diego,Toreros,San Diego,CA,West Coast Conference,1,/wiki/San_Diego_Toreros
309,University of San Francisco,Dons,San Francisco,CA,West Coast Conference,1,/wiki/San_Francisco_Dons
310,University of South Alabama,Jaguars,Mobile,AL,Sun Belt Conference,1,/wiki/South_Alabama_Jaguars
311,University of South Carolina,Gamecocks,Columbia,SC,Southeastern Conference,1,/wiki/South_Carolina_Gamecocks
312,University of South Carolina Upstate,Spartans,Spartanburg,SC,Big South Conference,1,/wiki/USC_Upstate_Spartans
313,University of South Dakota,Coyotes,Vermillion,SD,Summit League,1,/wiki/South_Dakota_Coyotes
314,University of Southern California,Trojans,Los Angeles,CA,Pac-12 Conference,1,/wiki/USC_Trojans
315,University of Southern Mississippi,Golden Eagles,Hattiesburg,MS,Conference USA,1,/wiki/Southern_Miss_Golden_Eagles
316,University of South Florida,Bulls,Tampa,FL,American Athletic Conference,1,/wiki/South_Florida_Bulls
317,University of the Incarnate Word,Cardinals,San Antonio,TX,Western Athletic Conference,1,/wiki/University_of_the_Incarnate_Word_Cardinals
318,University of the Pacific,Tigers,Stockton,CA,West Coast Conference,1,/wiki/Pacific_Tigers
319,University of Toledo,Rockets,Toledo,OH,Mid-American Conference,1,/wiki/Toledo_Rockets
320,University of Utah,Utes,Salt Lake City,UT,Pac-12 Conference,1,/wiki/Utah_Utes
321,University of Virginia,Cavaliers,Charlottesville,VA,Atlantic Coast Conference,1,/wiki/Virginia_Cavaliers
322,University of Washington,Huskies,Seattle,WA,Pac-12 Conference,1,/wiki/Washington_Huskies
323,University of Wisconsin–Green Bay,Phoenix,Green Bay,WI,Horizon League,1,/wiki/Green_Bay_Phoenix
324,University of Wisconsin–Madison,Badgers,Madison,WI,Big Ten Conference,1,/wiki/Wisconsin_Badgers
325,University of Wisconsin–Milwaukee,Panthers,Milwaukee,WI,Horizon League,1,/wiki/Milwaukee_Panthers
326,University of Wyoming,Cowboys,Laramie,WY,Mountain West Conference,1,/wiki/Wyoming_Cowboys_and_Cowgirls
327,Utah State University,Aggies,Logan,UT,Mountain West Conference,1,/wiki/Utah_State_Aggies
328,Utah Valley University,Wolverines,Orem,UT,Western Athletic Conference,1,/wiki/Utah_Valley_Wolverines
329,Valparaiso University,Beacons,Valparaiso,IN,Missouri Valley Conference,1,/wiki/Valparaiso_Beacons
330,Vanderbilt University,Commodores,Nashville,TN,Southeastern Conference,1,/wiki/Vanderbilt_Commodores
331,Villanova University,Wildcats,Radnor,PA,Big East Conference,1,/wiki/Weber_State_Wildcats
332,Virginia Commonwealth University,Rams,Richmond,VA,Atlantic 10 Conference,1,/wiki/VCU_Rams
333,Virginia Military Institute,Keydets,Lexington,VA,Southern Conference,1,/wiki/VMI_Keydets
334,Virginia Polytechnic Institute and State University,Hokies,Blacksburg,VA,Atlantic Coast Conference,1,/wiki/Virginia_Tech_Hokies
335,Wagner College,Seahawks,New York,NY,Northeast Conference,1,/wiki/Wagner_Seahawks
336,Wake Forest University,Demon Deacons,Winston-Salem,NC,Atlantic Coast Conference,1,/wiki/Wake_Forest_Demon_Deacons
337,Washington State University,Cougars,Pullman,WA,Pac-12 Conference,1,/wiki/Washington_State_Cougars
338,Weber State University,Wildcats,Ogden,UT,Big Sky Conference,1,/wiki/Weber_State_Wildcats
339,Western Carolina University,Catamounts,Cullowhee,NC,Southern Conference,1,/wiki/Western_Carolina_Catamounts
340,Western Illinois University,Leathernecks,Macomb,IL,Summit League,1,/wiki/Western_Illinois_Leathernecks
341,Western Kentucky University,Hilltoppers,Bowling Green,KY,Conference USA,1,/wiki/Western_Kentucky_Hilltoppers_and_Lady_Toppers
342,Western Michigan University,Broncos,Kalamazoo,MI,Mid-American Conference,1,/wiki/Western_Michigan_Broncos
343,West Virginia University,Mountaineers,Morgantown,WV,Big 12 Conference,1,/wiki/West_Virginia_Mountaineers
344,Wichita State University,Shockers,Wichita,KS,American Athletic Conference,1,/wiki/Wichita_State_Shockers
345,William Marsh Rice University,Owls,Houston,TX,Conference USA,1,
346,Winthrop University,Eagles,Rock Hill,SC,Big South Conference,1,
347,Wofford College,Terriers,Spartanburg,SC,Southern Conference,1,/wiki/Wofford_Terriers
348,Wright State University,Raiders,Dayton,OH,Horizon League,1,/wiki/Wright_State_Raiders
349,Xavier University,Musketeers,Cincinnati,OH,Big East Conference,1,/wiki/Xavier_Musketeers
350,Yale University,Bulldogs,New Haven,CT,Ivy League,1,/wiki/Yale_Bulldogs
351,Youngstown State University,Penguins,Youngstown,OH,Horizon League,1,/wiki/Youngstown_State_Penguins
352,Academy of Art University,Urban Knights,San Francisco,CA,Pacific West Conference,2,
353,Adams State University,Grizzlies,Alamosa,CO,Rocky Mountain Athletic Conference,2,/wiki/Montana_Grizzlies_and_Lady_Griz
354,Adelphi University,Panthers,Garden City,NY,Northeast-10 Conference,2,/wiki/Milwaukee_Panthers
355,University of Alabama in Huntsville,Chargers,Huntsville,AL,Gulf South Conference,2,
356,University of Alaska Anchorage,Seawolves,Anchorage,AK,Great Northwest Athletic Conference,2,/wiki/Stony_Brook_Seawolves
357,University of Alaska Fairbanks,Nanooks,Fairbanks,AK,Great Northwest Athletic Conference,2,
358,Albany State University,Golden Rams,Albany,GA,Southern Intercollegiate Athletic Conference,2,
359,Alderson Broaddus University,Battlers,Philippi,WV,Mountain East Conference,2,
360,American International College,Yellow Jackets,Springfield,MA,Northeast-10 Conference,2,/wiki/Georgia_Tech_Yellow_Jackets
361,Anderson University,Trojans,Anderson,SC,South Atlantic Conference,2,/wiki/USC_Trojans
362,Angelo State University,Rams & Rambelles,San Angelo,TX,Lone Star Conference,2,
363,Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,AR,Great American Conference,2,
364,University of Arkansas–Fort Smith,Lions,Fort Smith,AR,Lone Star Conference,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
365,University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,AR,Great American Conference,2,
366,Ashland University,Eagles,Ashland,OH,Great Midwest Athletic Conference,2,
367,Assumption University,Greyhounds,Worcester,MA,Northeast-10 Conference,2,/wiki/Loyola_Greyhounds
368,Auburn University at Montgomery,Warhawks,Montgomery,AL,Gulf South Conference,2,/wiki/Louisiana%E2%80%93Monroe_Warhawks
369,Augusta University,Jaguars,Augusta,GA,Peach Belt Conference,2,/wiki/South_Alabama_Jaguars
370,Augustana University,Vikings,Sioux Falls,SD,Northern Sun Intercollegiate Conference,2,/wiki/Portland_State_Vikings
371,Azusa Pacific University,Cougars,Azusa,CA,Pacific West Conference,2,/wiki/Washington_State_Cougars
372,Barry University,Buccaneers,Miami Shores,FL,Sunshine State Conference,2,/wiki/East_Tennessee_State_Buccaneers
373,Barton College,Bulldogs,Wilson,NC,Conference Carolinas,2,/wiki/Yale_Bulldogs
374,Belmont Abbey College,Crusaders,Belmont,NC,Conference Carolinas,2,/wiki/Holy_Cross_Crusaders
375,Bemidji State University,Beavers,Bemidji,MN,Northern Sun Intercollegiate Conference,2,/wiki/Oregon_State_Beavers
376,Benedict College,Tigers,Columbia,SC,Southern Intercollegiate Athletic Conference,2,/wiki/Pacific_Tigers
377,Bentley University,Falcons,Waltham,MA,Northeast-10 Conference,2,/wiki/Air_Force_Falcons
378,Biola University,Eagles,La Mirada,CA,Pacific West Conference,2,
379,Black Hills State University,Yellow Jackets,Spearfish,SD,Rocky Mountain Athletic Conference,2,/wiki/Georgia_Tech_Yellow_Jackets
380,Bloomfield College,Bears,Bloomfield,NJ,Central Atlantic Collegiate Conference,2,/wiki/Northern_Colorado_Bears
381,Bloomsburg University of Pennsylvania,Huskies,Bloomsburg,PA,Pennsylvania State Athletic Conference,2,/wiki/Washington_Huskies
382,Bluefield State College,Big Blues & Lady Blues,Bluefield,WV,Independent,2,
383,Bowie State University,Bulldogs,Bowie,MD,Central Intercollegiate Athletic Association,2,/wiki/Yale_Bulldogs
384,University of Bridgeport,Purple Knights,Bridgeport,CT,East Coast Conference(Central Atlantic Collegiate Conference in 2022),2,
385,Caldwell University,Cougars,Caldwell,NJ,Central Atlantic Collegiate Conference,2,/wiki/Washington_State_Cougars
386,California University of Pennsylvania[a],Vulcans,California,PA,Pennsylvania State Athletic Conference,2,
387,"California State Polytechnic University, Humboldt",Lumberjacks,Arcata,CA,California Collegiate Athletic Association,2,/wiki/Stephen_F._Austin_Lumberjacks_and_Ladyjacks
388,"California State Polytechnic University, Pomona",Broncos,Pomona,CA,California Collegiate Athletic Association,2,/wiki/Western_Michigan_Broncos
389,"California State University, Chico",Wildcats,Chico,CA,California Collegiate Athletic Association,2,/wiki/Weber_State_Wildcats
390,"California State University, Dominguez Hills",Toros,Carson,CA,California Collegiate Athletic Association,2,
391,"California State University, East Bay",Pioneers,Hayward,CA,California Collegiate Athletic Association,2,/wiki/Denver_Pioneers
392,"California State University, Los Angeles",Golden Eagles,Los Angeles,CA,California Collegiate Athletic Association,2,/wiki/Southern_Miss_Golden_Eagles
393,"California State University, Monterey Bay",Otters,Seaside,CA,California Collegiate Athletic Association,2,
394,"California State University, San Bernardino",Coyotes,San Bernardino,CA,California Collegiate Athletic Association,2,/wiki/South_Dakota_Coyotes
395,California State University San Marcos,Cougars,San Marcos,CA,California Collegiate Athletic Association,2,/wiki/Washington_State_Cougars
396,"California State University, Stanislaus",Warriors,Turlock,CA,California Collegiate Athletic Association,2,
397,Cameron University,Aggies,Lawton,OK,Lone Star Conference,2,/wiki/Utah_State_Aggies
398,Carson–Newman University,Eagles,Jefferson City,TN,South Atlantic Conference,2,
399,Catawba College,Indians,Salisbury,NC,South Atlantic Conference,2,
400,Cedarville University,Yellow Jackets,Cedarville,OH,Great Midwest Athletic Conference,2,/wiki/Georgia_Tech_Yellow_Jackets
401,University of Central Missouri,Mules & Jennies,Warrensburg,MO,Mid-America Intercollegiate Athletics Association,2,
402,University of Central Oklahoma,Bronchos,Edmond,OK,Mid-America Intercollegiate Athletics Association,2,
403,Central State University,Marauders & Lady Marauders,Wilberforce,OH,Southern Intercollegiate Athletic Conference,2,
404,Central Washington University,Wildcats,Ellensburg,WA,Great Northwest Athletic Conference,2,/wiki/Weber_State_Wildcats
405,Chadron State College,Eagles,Chadron,NE,Rocky Mountain Athletic Conference,2,
406,Chaminade University of Honolulu,Silverswords,Honolulu,HI,Pacific West Conference,2,
407,University of Charleston,Golden Eagles,Charleston,WV,Mountain East Conference,2,/wiki/Southern_Miss_Golden_Eagles
408,Chestnut Hill College,Griffins,Philadelphia,PA,Central Atlantic Collegiate Conference,2,
409,Chowan University,Hawks,Murfreesboro,NC,Conference Carolinas,2,/wiki/UMES_Hawks
410,Christian Brothers University,Buccaneers & Lady Buccaneers,Memphis,TN,Gulf South Conference,2,
411,Claflin University,Panthers,Orangeburg,SC,Central Intercollegiate Athletic Association,2,/wiki/Milwaukee_Panthers
412,Clarion University of Pennsylvania[a],Golden Eagles,Clarion,PA,Pennsylvania State Athletic Conference,2,/wiki/Southern_Miss_Golden_Eagles
413,Clark Atlanta University,Panthers,Atlanta,GA,Southern Intercollegiate Athletic Conference,2,/wiki/Milwaukee_Panthers
414,Clayton State University,Lakers,Morrow,GA,Peach Belt Conference,2,
415,Coker University,Cobras,Hartsville,SC,South Atlantic Conference,2,
416,Colorado Christian University,Cougars,Lakewood,CO,Rocky Mountain Athletic Conference,2,/wiki/Washington_State_Cougars
417,Colorado Mesa University,Mavericks,Grand Junction,CO,Rocky Mountain Athletic Conference,2,/wiki/Omaha_Mavericks
418,Colorado School of Mines,Orediggers,Golden,CO,Rocky Mountain Athletic Conference,2,
419,Colorado State University–Pueblo,ThunderWolves,Pueblo,CO,Rocky Mountain Athletic Conference,2,
420,University of Colorado Colorado Springs,Mountain Lions,Colorado Springs,CO,Rocky Mountain Athletic Conference,2,
421,Columbus State University,Cougars,Columbus,GA,Peach Belt Conference,2,/wiki/Washington_State_Cougars
422,Concord University,Mountain Lions,Athens,WV,Mountain East Conference,2,
423,Concordia University–Irvine,Eagles,Irvine,CA,Pacific West Conference,2,
424,Concordia University–St. Paul,Golden Bears,St. Paul,MN,Northern Sun Intercollegiate Conference,2,/wiki/California_Golden_Bears
425,Converse University,Valkyries,Spartanburg,SC,Conference Carolinas,2,
426,Daemen College,Wildcats,Amherst,NY,East Coast Conference,2,/wiki/Weber_State_Wildcats
427,Dallas Baptist University,Patriots,Dallas,TX,Lone Star Conference,2,/wiki/George_Mason_Patriots
428,Davenport University,Panthers,Grand Rapids,MI,Great Lakes Intercollegiate Athletic Conference,2,/wiki/Milwaukee_Panthers
429,Davis & Elkins College,Senators,Elkins,WV,Mountain East Conference,2,
430,Delta State University,Statesmen & Lady Statesmen,Cleveland,MS,Gulf South Conference,2,
431,University of the District of Columbia,Firebirds,Washington,DC,East Coast Conference,2,
432,Dominican University of California,Penguins,San Rafael,CA,Pacific West Conference,2,/wiki/Youngstown_State_Penguins
433,Dominican College,Chargers,Orangeburg,NY,Central Atlantic Collegiate Conference,2,
434,Drury University,Panthers,Springfield,MO,Great Lakes Valley Conference,2,/wiki/Milwaukee_Panthers
435,East Central University,Tigers,Ada,OK,Great American Conference,2,/wiki/Pacific_Tigers
436,East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,PA,Pennsylvania State Athletic Conference,2,
437,Eastern New Mexico University,Greyhounds,Portales,NM,Lone Star Conference,2,/wiki/Loyola_Greyhounds
438,Eckerd College,Tritons,St. Petersburg,FL,Sunshine State Conference,2,
439,Edinboro University of Pennsylvania[a],Fighting Scots,Edinboro,PA,Pennsylvania State Athletic Conference,2,
440,Elizabeth City State University,Vikings,Elizabeth City,NC,Central Intercollegiate Athletic Association,2,/wiki/Portland_State_Vikings
441,Embry–Riddle Aeronautical University,Eagles,Daytona Beach,FL,Sunshine State Conference,2,
442,Emmanuel College,Lions,Franklin Springs,GA,Conference Carolinas,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
443,Emporia State University,Hornets,Emporia,KS,Mid-America Intercollegiate Athletics Association,2,/wiki/Delaware_State_Hornets
444,Erskine College,Flying Fleet,Due West,SC,Conference Carolinas,2,
445,Fairmont State University,Fighting Falcons,Fairmont,WV,Mountain East Conference,2,
446,Fayetteville State University,Broncos & Lady Broncos,Fayetteville,NC,Central Intercollegiate Athletic Association,2,
447,Felician University,Golden Falcons,Rutherford,NJ,Central Atlantic Collegiate Conference,2,
448,Ferris State University,Bulldogs,Big Rapids,MI,Great Lakes Intercollegiate Athletic Conference,2,/wiki/Yale_Bulldogs
449,University of Findlay,Oilers,Findlay,OH,Great Midwest Athletic Conference,2,
450,Flagler College,Saints,St. Augustine,FL,Peach Belt Conference,2,/wiki/Siena_Saints
451,Florida Southern College,Moccasins,Lakeland,FL,Sunshine State Conference,2,
452,Florida Institute of Technology,Panthers,Melbourne,FL,Sunshine State Conference,2,/wiki/Milwaukee_Panthers
453,Fort Hays State University,Tigers,Hays,KS,Mid-America Intercollegiate Athletics Association,2,/wiki/Pacific_Tigers
454,Fort Lewis College,Skyhawks,Durango,CO,Rocky Mountain Athletic Conference,2,/wiki/Stonehill_Skyhawks
455,Fort Valley State University,Wildcats,Fort Valley,GA,Southern Intercollegiate Athletic Conference,2,/wiki/Weber_State_Wildcats
456,Francis Marion University,Patriots,Florence,SC,Conference Carolinas,2,/wiki/George_Mason_Patriots
457,Franklin Pierce University,Ravens,Rindge,NH,Northeast-10 Conference,2,
458,Fresno Pacific University,Sunbirds,Fresno,CA,Pacific West Conference,2,
459,Gannon University,Golden Knights,Erie,PA,Pennsylvania State Athletic Conference,2,
460,Georgia College & State University,Bobcats,Milledgeville,GA,Peach Belt Conference,2,/wiki/Ohio_Bobcats
461,Georgia Southwestern State University,Hurricanes,Americus,GA,Peach Belt Conference,2,/wiki/Miami_Hurricanes
462,Georgian Court University,Lions,Lakewood,NJ,Central Atlantic Collegiate Conference,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
463,Glenville State College,Pioneers,Glenville,WV,Mountain East Conference,2,/wiki/Denver_Pioneers
464,Goldey–Beacom College,Lightning,Pike Creek Valley,DE,Central Atlantic Collegiate Conference,2,
465,Grand Valley State University,Lakers,Allendale,MI,Great Lakes Intercollegiate Athletic Conference,2,
466,Harding University,Bisons & Lady Bisons,Searcy,AR,Great American Conference,2,
467,Hawai'i Pacific University,Sharks,Honolulu,HI,Pacific West Conference,2,/wiki/LIU_Sharks
468,University of Hawai'i at Hilo,Vulcans,Hilo,HI,Pacific West Conference,2,
469,Henderson State University,Reddies,Arkadelphia,AR,Great American Conference,2,
470,Hillsdale College,Chargers,Hillsdale,MI,Great Midwest Athletic Conference,2,
471,Holy Family University,Tigers,Philadelphia,PA,Central Atlantic Collegiate Conference,2,/wiki/Pacific_Tigers
472,Holy Names University,Hawks,Oakland,CA,Pacific West Conference,2,/wiki/UMES_Hawks
473,University of Illinois at Springfield,Prairie Stars,Springfield,IL,Great Lakes Valley Conference,2,
474,Indiana University of Pennsylvania,Crimson Hawks,Indiana,PA,Pennsylvania State Athletic Conference,2,
475,University of Indianapolis,Greyhounds,Indianapolis,IN,Great Lakes Valley Conference,2,/wiki/Loyola_Greyhounds
476,Thomas Jefferson University,Rams,Philadelphia,PA,Central Atlantic Collegiate Conference,2,/wiki/VCU_Rams
477,Johnson C. Smith University,Golden Bulls,Charlotte,NC,Central Intercollegiate Athletic Association,2,
478,Kentucky State University,Thorobreds & Thorobrettes,Frankfort,KY,Southern Intercollegiate Athletic Conference,2,
479,Kentucky Wesleyan College,Panthers,Owensboro,KY,Great Midwest Athletic Conference,2,/wiki/Milwaukee_Panthers
480,King University,Tornados,Bristol,TN,Conference Carolinas,2,
481,Kutztown University of Pennsylvania,Golden Bears,Kutztown,PA,Pennsylvania State Athletic Conference,2,/wiki/California_Golden_Bears
482,Lake Erie College,Storm,Painesville,OH,Great Midwest Athletic Conference,2,
483,Lake Superior State University,Lakers,Sault Ste. Marie,MI,Great Lakes Intercollegiate Athletic Conference,2,
484,Lander University,Bearcats,Greenwood,SC,Peach Belt Conference,2,/wiki/Cincinnati_Bearcats
485,Lane College,Dragons,Jackson,TN,Southern Intercollegiate Athletic Conference,2,/wiki/Drexel_Dragons
486,Le Moyne College,Dolphins,Syracuse,NY,Northeast-10 Conference,2,/wiki/Jacksonville_Dolphins
487,Lee University,Flames,Cleveland,TN,Gulf South Conference,2,/wiki/UIC_Flames
488,Lees–McRae College,Bobcats,Banner Elk,NC,Conference Carolinas,2,/wiki/Ohio_Bobcats
489,LeMoyne–Owen College,Magicians,Memphis,TN,Southern Intercollegiate Athletic Conference,2,
490,Lenoir–Rhyne University,Bears,Hickory,NC,South Atlantic Conference,2,/wiki/Northern_Colorado_Bears
491,Lewis University,Flyers,Romeoville,IL,Great Lakes Valley Conference,2,/wiki/Dayton_Flyers
492,Limestone University,Saints,Gaffney,SC,South Atlantic Conference,2,/wiki/Siena_Saints
493,Lincoln University (MO),Blue Tigers,Jefferson City,MO,Mid-America Intercollegiate Athletics Association,2,
494,Lincoln University (PA),Lions,Chester County,PA,Central Intercollegiate Athletic Association,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
495,Lincoln Memorial University,Railsplitters,Harrogate,TN,South Atlantic Conference,2,
496,Lindenwood University[b],Lions & Lady Lions,St. Charles,MO,Great Lakes Valley Conference,2,/wiki/Lindenwood_Lions
497,Livingstone College,Blue Bears,Salisbury,NC,Central Intercollegiate Athletic Association,2,
498,Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,PA,Pennsylvania State Athletic Conference,2,
499,Lubbock Christian University,Chaparrals & Lady Chaps,Lubbock,TX,Lone Star Conference,2,
500,Lynn University,Fighting Knights,Boca Raton,FL,Sunshine State Conference,2,
501,Malone University,Pioneers,Canton,OH,Great Midwest Athletic Conference,2,/wiki/Denver_Pioneers
502,Mansfield University of Pennsylvania,Mountaineers,Mansfield,PA,Pennsylvania State Athletic Conference,2,/wiki/West_Virginia_Mountaineers
503,Mars Hill University,Lions,Mars Hill,NC,South Atlantic Conference,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
504,University of Mary,Marauders,Bismarck,ND,Northern Sun Intercollegiate Conference,2,
505,Maryville University,Saints,Town and Country,MO,Great Lakes Valley Conference,2,/wiki/Siena_Saints
506,McKendree University,Bearcats,Lebanon,IL,Great Lakes Valley Conference,2,/wiki/Cincinnati_Bearcats
507,Mercy College,Mavericks,Dobbs Ferry,NY,East Coast Conference,2,/wiki/Omaha_Mavericks
508,Mercyhurst University,Lakers,Erie,PA,Pennsylvania State Athletic Conference,2,
509,Metropolitan State University of Denver,Roadrunners,Denver,CO,Rocky Mountain Athletic Conference,2,/wiki/UTSA_Roadrunners
510,Michigan Technological University,Huskies,Houghton,MI,Great Lakes Intercollegiate Athletic Conference,2,/wiki/Washington_Huskies
511,Midwestern State University,Mustangs,Wichita Falls,TX,Lone Star Conference,2,/wiki/SMU_Mustangs
512,Miles College,Golden Bears,Fairfield,AL,Southern Intercollegiate Athletic Conference,2,/wiki/California_Golden_Bears
513,Millersville University of Pennsylvania,Marauders,Millersville,PA,Pennsylvania State Athletic Conference,2,
514,"Minnesota State University, Mankato",Mavericks,Mankato,MN,Northern Sun Intercollegiate Conference,2,/wiki/Omaha_Mavericks
515,Minnesota State University Moorhead,Dragons,Moorhead,MN,Northern Sun Intercollegiate Conference,2,/wiki/Drexel_Dragons
516,University of Minnesota Crookston,Golden Eagles,Crookston,MN,Northern Sun Intercollegiate Conference,2,/wiki/Southern_Miss_Golden_Eagles
517,University of Minnesota Duluth,Bulldogs,Duluth,MN,Northern Sun Intercollegiate Conference,2,/wiki/Yale_Bulldogs
518,Minot State University,Beavers,Minot,ND,Northern Sun Intercollegiate Conference,2,/wiki/Oregon_State_Beavers
519,Mississippi College,Choctaws,Clinton,MS,Gulf South Conference,2,
520,Missouri University of Science and Technology,Miners,Rolla,MO,Great Lakes Valley Conference,2,/wiki/UTEP_Miners
521,Missouri Southern State University,Lions,Joplin,MO,Mid-America Intercollegiate Athletics Association,2,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
522,Missouri Western State University,Griffons,St. Joseph,MO,Mid-America Intercollegiate Athletics Association,2,
523,University of Missouri–St. Louis,Tritons,St. Louis,MO,Great Lakes Valley Conference,2,
